25-11-04 18:03:32 |   INFO   |        HTTP_CLIENT        | Make POST request to https://api.escuelajs.co/api/v1/users
25-11-04 18:03:32 |   INFO   |        HTTP_CLIENT        | Got response 201 Created from https://api.escuelajs.co/api/v1/users
25-11-04 18:03:32 |   INFO   |        HTTP_CLIENT        | Make PUT request to https://api.escuelajs.co/api/v1/users/25
25-11-04 18:03:32 |   INFO   |        HTTP_CLIENT        | Got response 200 OK from https://api.escuelajs.co/api/v1/users/25
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that response status code equals to 200
25-11-04 18:03:32 |   INFO   |     USERS_ASSERTIONS      | Check update user response
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that "name" equals to Devin
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that "role" equals to admin
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that "email" equals to mortonashley@example.net
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that "password" equals to mcJnwVoAV8
25-11-04 18:03:32 |   INFO   |      BASE_ASSERTIONS      | Check that "avatar" equals to http://steele-ruiz.com/tags/tag/searchregister.asp
25-11-04 18:03:32 |   INFO   |    SCHEMAS_ASSERTIONS     | Validating JSON schema
